match_id,data,casa,ospite,gol_casa_reali,gol_ospite_reali,gol_casa_baseline,gol_ospite_baseline,tiri_dentro_casa_pre,tiri_fuori_casa_pre,tiri_dentro_casa_concessi_pre,tiri_fuori_casa_concessi_pre,tiri_dentro_ospite_pre,tiri_fuori_ospite_pre,tiri_dentro_ospite_concessi_pre,tiri_fuori_ospite_concessi_pre,expected_tiri_dentro_casa,expected_tiri_dentro_ospite,expected_tiri_fuori_casa,expected_tiri_fuori_ospite,tiri_dentro_casa_reali,tiri_fuori_casa_reali,tiri_dentro_ospite_reali,tiri_fuori_ospite_reali,valido
29933,2025-10-29 16:30:00,Roma,Parma,2.0,1.0,1.0640243902439024,0.5006777356624917,8.375,4.875,5.125,5.0,5.75,4.125,7.0,5.75,7.6875,5.4375,5.3125,4.5625,11,7,5,3,True
29927,2025-10-29 16:30:00,Como,Verona,3.0,1.0,1.1287650602409638,0.6333652428864394,7.75,5.75,6.375,4.875,7.875,5.75,6.125,4.75,6.9375,7.125,5.25,5.3125,7,8,11,2,True
29930,2025-10-29 16:30:00,Juventus,Udinese,3.0,1.0,1.1339285714285714,1.1216517857142856,8.75,6.875,6.75,5.75,7.0,5.25,6.875,4.75,7.8125,6.875,5.8125,5.5,18,7,6,2,True
29925,2025-10-29 18:45:00,Bologna,Torino,0.0,0.0,1.388970588235294,0.9467174369747899,7.625,4.625,7.25,3.375,7.125,4.625,8.875,6.375,8.25,7.1875,5.5,4.0,4,7,4,4,True
29928,2025-10-29 18:45:00,Genoa,Cremonese,0.0,2.0,0.8197674418604651,1.2492491546037021,6.25,5.25,7.125,3.125,3.875,3.125,10.5,6.625,8.375,5.5,5.9375,3.125,9,6,7,4,True
29929,2025-10-29 18:45:00,Inter,Fiorentina,3.0,0.0,1.7564655172413794,1.1113056752873567,11.875,6.625,5.25,4.125,6.625,5.25,8.125,3.5,10.0,5.9375,5.0625,4.6875,19,3,6,4,True
29926,2025-10-30 16:30:00,Cagliari,Sassuolo,1.0,2.0,1.0710227272727273,1.1216432044323836,5.875,3.625,9.625,4.625,6.0,3.75,8.75,5.25,7.3125,7.8125,4.4375,4.1875,4,4,6,6,True
29932,2025-10-30 18:45:00,Pisa,Lazio,0.0,0.0,0.8855337078651684,1.4551749421678781,6.0,3.125,10.0,6.875,6.75,3.875,10.125,4.5,8.0625,8.375,3.8125,5.375,7,3,5,6,True
29942,2025-11-01 14:00:00,Udinese,Atalanta,1.0,0.0,1.1777777777777778,1.5921568627450977,6.888888888888889,4.888888888888889,8.11111111111111,5.0,10.0,5.777777777777778,5.222222222222222,5.444444444444445,6.055555555555555,9.055555555555555,5.166666666666667,5.388888888888889,3,8,3,2,True
29938,2025-11-01 17:00:00,Napoli,Como,0.0,0.0,1.452075702075702,1.100202259348601,10.11111111111111,5.333333333333333,6.222222222222222,4.444444444444445,7.666666666666667,6.0,6.888888888888889,4.555555555555555,8.5,6.944444444444445,4.944444444444445,5.222222222222222,6,7,5,9,True
29934,2025-11-01 19:45:00,Cremonese,Juventus,1.0,2.0,1.1681763285024154,1.2220737107733397,4.222222222222222,3.2222222222222223,10.333333333333334,6.555555555555555,9.777777777777779,6.888888888888889,6.666666666666667,5.333333333333333,5.444444444444445,10.055555555555557,4.277777777777778,6.722222222222222,5,4,8,7,True
29943,2025-11-02 11:30:00,Verona,Inter,1.0,2.0,0.8369175627240143,2.1296411175443435,8.222222222222221,5.333333333333333,6.222222222222222,5.111111111111111,12.666666666666666,6.222222222222222,5.333333333333333,4.111111111111111,6.777777777777777,9.444444444444445,4.722222222222221,5.666666666666666,5,4,12,9,True
29941,2025-11-02 14:00:00,Torino,Pisa,2.0,2.0,1.0056146572104019,1.0008618602300325,6.777777777777778,4.555555555555555,8.333333333333334,6.444444444444445,6.111111111111111,3.111111111111111,9.444444444444445,6.777777777777778,8.11111111111111,7.222222222222222,5.666666666666666,4.777777777777778,11,4,8,3,True
29935,2025-11-02 14:00:00,Fiorentina,Lecce,0.0,1.0,0.9546783625730995,1.180396890158212,6.555555555555555,5.111111111111111,9.333333333333334,3.4444444444444446,5.222222222222222,4.444444444444445,8.333333333333334,3.5555555555555554,7.444444444444445,7.277777777777779,4.333333333333333,3.9444444444444446,11,4,5,6,True
29939,2025-11-02 17:00:00,Parma,Bologna,1.0,3.0,0.7847222222222222,1.213348765432099,5.666666666666667,4.0,7.444444444444445,5.888888888888889,7.222222222222222,4.888888888888889,6.888888888888889,3.4444444444444446,6.277777777777779,7.333333333333334,3.7222222222222223,5.388888888888889,4,3,16,6,True
29937,2025-11-02 19:45:00,Milan,Roma,1.0,0.0,1.3447880870561284,0.9462436507110047,9.11111111111111,4.555555555555555,5.444444444444445,4.222222222222222,8.666666666666666,5.111111111111111,5.111111111111111,4.777777777777778,7.111111111111111,7.055555555555555,4.666666666666666,4.666666666666666,13,4,14,6,True
